id,from_pages,from_issues,newspaper_id
tageblatt-1925-10-13-a-p0006,,True,tageblatt
tageblatt-1925-10-15-a-p0006,,True,tageblatt
tageblatt-1925-10-20-a-p0006,,True,tageblatt
tageblatt-1925-10-27-a-p0008,,True,tageblatt
tageblatt-1925-11-10-a-p0006,,True,tageblatt
tageblatt-1925-11-17-a-p0006,,True,tageblatt
tageblatt-1925-11-24-a-p0006,,True,tageblatt
tageblatt-1925-12-15-a-p0008,,True,tageblatt
tageblatt-1925-12-22-a-p0008,,True,tageblatt
tageblatt-1926-01-05-a-p0006,,True,tageblatt
tageblatt-1926-01-11-a-p0005,,True,tageblatt
tageblatt-1926-01-12-a-p0006,,True,tageblatt
tageblatt-1926-01-15-a-p0003,,True,tageblatt
tageblatt-1926-01-15-a-p0004,,True,tageblatt
tageblatt-1926-01-18-a-p0004,,True,tageblatt
tageblatt-1926-01-19-a-p0003,,True,tageblatt
tageblatt-1926-01-19-a-p0004,,True,tageblatt
tageblatt-1926-01-22-a-p0004,,True,tageblatt
tageblatt-1926-01-26-a-p0004,,True,tageblatt
tageblatt-1926-02-03-a-p0004,,True,tageblatt
tageblatt-1926-02-05-a-p0004,,True,tageblatt
tageblatt-1926-02-09-a-p0004,,True,tageblatt
tageblatt-1926-02-12-a-p0004,,True,tageblatt
tageblatt-1926-02-16-a-p0004,,True,tageblatt
tageblatt-1926-02-23-a-p0004,,True,tageblatt
tageblatt-1926-02-25-a-p0004,,True,tageblatt
tageblatt-1926-03-02-a-p0004,,True,tageblatt
tageblatt-1926-03-05-a-p0006,,True,tageblatt
tageblatt-1926-03-12-a-p0005,,True,tageblatt
tageblatt-1926-03-12-a-p0006,,True,tageblatt
tageblatt-1926-03-15-a-p0004,,True,tageblatt
tageblatt-1926-03-15-a-p0008,,True,tageblatt
tageblatt-1926-03-18-a-p0006,,True,tageblatt
tageblatt-1926-03-23-a-p0003,,True,tageblatt
tageblatt-1926-03-23-a-p0004,,True,tageblatt
tageblatt-1926-03-23-a-p0005,,True,tageblatt
tageblatt-1926-03-23-a-p0006,,True,tageblatt
tageblatt-1926-03-26-a-p0005,,True,tageblatt
tageblatt-1926-03-26-a-p0006,,True,tageblatt
tageblatt-1926-03-30-a-p0006,,True,tageblatt
tageblatt-1926-03-31-a-p0005,,True,tageblatt
tageblatt-1926-03-31-a-p0006,,True,tageblatt
tageblatt-1926-04-07-a-p0004,,True,tageblatt
tageblatt-1926-04-07-a-p0006,,True,tageblatt
tageblatt-1926-04-13-a-p0003,,True,tageblatt
tageblatt-1926-04-13-a-p0004,,True,tageblatt
tageblatt-1926-04-13-a-p0006,,True,tageblatt
tageblatt-1926-04-19-a-p0006,,True,tageblatt
tageblatt-1926-04-20-a-p0004,,True,tageblatt
tageblatt-1926-04-21-a-p0004,,True,tageblatt
tageblatt-1926-04-27-a-p0004,,True,tageblatt
tageblatt-1926-04-28-a-p0004,,True,tageblatt
tageblatt-1926-05-03-a-p0004,,True,tageblatt
tageblatt-1926-05-05-a-p0004,,True,tageblatt
tageblatt-1926-05-11-a-p0004,,True,tageblatt
tageblatt-1926-05-12-a-p0006,,True,tageblatt
tageblatt-1926-05-18-a-p0004,,True,tageblatt
tageblatt-1926-05-18-a-p0006,,True,tageblatt
